Date,Open,High,Low,Close,Volume
,NVDA,NVDA,NVDA,NVDA,NVDA
2020-01-02,5.9422061261104835,5.971076965332031,5.8916820387936255,5.971076965332031,237536000
2020-01-03,5.851362780060624,5.919309450404571,5.8264738602636355,5.875504970550537,205384000
2020-01-06,5.78217132471316,5.905370730122537,5.756038175046519,5.900144100189209,262636000
2020-01-07,5.9285175131814745,6.017370697897998,5.883468804691061,5.9715752601623535,314856000
2020-01-08,5.967344548549254,6.02409122818226,5.92727371561059,5.982775688171387,277108000
2020-01-09,6.069139710447324,6.120908509266958,5.99472218082326,6.0484819412231445,255112000
2020-01-10,6.155751792284249,6.186116088078672,6.0666498661842505,6.080836296081543,316296000
2020-01-13,6.163966752912107,6.296623954505938,6.141317545571688,6.271486282348633,319840000
2020-01-14,6.228677378026615,6.254064276830669,6.141317640332306,6.1545090675354,359088000
2020-01-15,6.167201230265484,6.1896012087473915,6.086063614825088,6.111948013305664,263104000
2020-01-16,6.165459211777373,6.201548119865506,6.142063751814368,6.195574760437012,284192000
2020-01-17,6.214739836926343,6.222206655811327,6.156748920264718,6.204286575317383,253792000
2020-01-21,6.167698532152198,6.204534164327883,6.1368362585649106,6.170934200286865,217916000
2020-01-22,6.216232587499454,6.311556638293385,6.19731702825236,6.2249436378479,239240000
2020-01-23,6.265014550653041,6.301849711322332,6.176161367963246,6.293387413024902,244516000
2020-01-24,6.408871766709822,6.458649601386447,6.179894581687254,6.234152317047119,373512000
2020-01-27,5.929512498753077,6.029316912870455,5.779930728037973,5.978294849395752,470536000
2020-01-28,6.044250377382685,6.2040366637991715,5.990988123671654,6.1716814041137695,310976000
2020-01-29,6.157246432843524,6.193335342652405,6.071379683662624,6.111202239990234,258848000
2020-01-30,6.01338780936454,6.131361051433275,5.958383823099121,6.117920875549316,290504000
2020-01-31,6.072126406970737,6.084073126385558,5.842651697517958,5.884464740753174,370420000
2020-02-03,5.866295112166753,6.000943726722339,5.860073001776893,5.981530666351318,255564000
2020-02-04,6.123396147817084,6.169938306564203,6.073369569686397,6.150773525238037,271544000
2020-02-05,6.271734343043309,6.281938851591867,6.157743488432498,6.241121292114258,208220000
